,0
0,22
1,46
2,35
3,32
4,12
5,14
6,30
7,39
8,29
9,18
10,35
11,18
12,19
13,13
14,17
15,45
16,24
17,35
18,14
19,15
20,13
21,17
22,15
23,13
24,20
25,81
26,32
27,16
28,14
29,15
30,62
31,25
32,21
33,18
34,25
35,21
36,14
37,9
38,14
39,42
40,39
41,20
42,14
43,43
44,42
45,27
46,12
47,19
48,23
49,34
50,16
51,16
52,11
53,26
54,17
55,43
56,14
57,11
58,18
59,11
60,13
61,17
62,11
63,11
64,10
65,17
66,13
67,14
68,16
69,15
70,19
71,16
72,11
73,20
74,14
75,16
76,11
77,20
78,15
79,9
80,18
81,39
82,19
83,17
84,25
85,11
86,12
87,19
88,16
89,12
90,64
91,16
92,9
93,14
94,11
95,11
96,29
97,9
98,12
99,11
100,13
101,19
102,23
103,29
104,9
105,21
106,15
107,9
108,18
109,15
110,10
111,15
112,9
113,27
114,18
115,22
116,20
117,11
118,13
119,10
120,16
121,11
122,17
123,13
124,28
125,11
126,10
127,14
128,9
129,9
130,10
131,20
132,8
133,14
134,10
135,9
136,12
137,9
138,9
139,16
140,8
141,10
142,8
143,10
144,10
145,10
146,8
147,10
148,14
149,35
150,11
151,9
152,22
153,12
154,10
155,13
156,31
157,9
158,9
159,17
160,9
161,22
162,31
163,10
164,21
165,12
166,11
167,12
168,8
169,11
170,16
171,9
172,16
173,12
174,12
175,10
176,12
177,10
178,10
179,11
180,10
181,8
182,11
183,11
184,11
185,10
186,9
187,10
188,9
189,9
190,11
191,11
192,9
193,9
194,10
195,10
196,11
197,10
198,12
199,14
200,11
201,9
202,15
203,13
204,20
205,10
206,9
207,9
208,32
209,8
210,9
211,9
212,30
213,16
214,10
215,9
216,9
217,10
218,11
219,8
220,14
221,13
222,11
223,9
224,9
225,11
226,12
227,12
228,9
229,12
230,13
231,10
232,10
233,21
234,20
235,48
236,33
237,47
238,23
239,30
240,22
241,11
242,12
243,39
244,69
245,10
246,10
247,9
248,9
249,9
250,80
251,9
252,9
253,76
254,16
255,50
256,47
257,35
258,11
259,46
260,14
261,61
262,10
263,9
264,10
265,10
266,43
267,8
268,63
269,12
270,44
271,57
272,63
273,56
274,64
275,70
276,60
277,152
278,75
279,95
280,146
281,166
282,120
283,103
284,137
285,110
286,105
287,188
288,164
289,120
290,238
291,296
292,85
293,96
294,112
295,100
296,120
297,135
298,92
299,101
300,114
301,66
302,95
303,123
304,69
305,64
306,97
307,68
308,70
309,72
310,45
311,52
312,67
313,52
314,50
315,71
316,50
317,61
318,50
319,56
320,60
321,59
322,65
323,60
324,52
325,60
326,40
327,56
328,68
329,67
330,54
331,47
332,64
333,60
334,63
335,53
336,57
337,86
338,56
339,53
340,86
341,68
342,116
343,168
344,107
345,82
346,66
347,117
348,150
349,109
350,75
351,89
352,106
353,105
354,500
355,408
356,348
357,224
358,167
359,256
360,211
361,171
362,162
363,148
364,194
365,86
366,215
367,120
368,156
369,103
370,77
371,82
372,51
373,47
374,48
375,46
376,58
377,54
378,63
379,63
380,75
381,102
382,76
383,80
384,98
385,100
386,144
387,500
388,143
389,159
390,97
391,13
392,87
393,90
394,12
395,11
396,13
397,12
398,12
399,13
